Id,TypeId,Name
1,1,alpinehut
2,1,camping
3,1,caravan
4,1,chalet
5,1,hostel
6,1,hotel
7,1,motel
8,2,court
9,2,firestation
10,2,library
11,2,playground
12,2,police
13,2,postoffice
14,2,prison
15,2,publicbuilding
16,2,townhall
17,3,college
18,3,nursery
19,3,school
20,3,university
21,4,bar
22,4,biergarten
23,4,cafe
24,4,fastfood
25,4,icecream
26,4,pub
27,4,restaurant
28,5,dentist
29,5,doctors
30,5,hospital
31,5,hospitalemergency
32,5,pharmacy
33,5,veterinary
34,6,allotments
35,6,coniferous
36,6,coniferousdeciduous
37,6,deciduous
38,6,grass
39,6,hills
40,6,military
41,6,quary
42,6,scrub
43,6,swamp
44,7,bank
45,7,exchange
46,9,bunker
47,9,cave
48,9,city
49,9,crane
50,9,embassy
51,9,hamlet
52,9,mine
53,9,peak
54,9,peak1
55,9,suburb
56,9,towercommunication
57,9,towerlookout
58,9,town
59,9,village
60,8,bahai
61,8,buddhist
62,8,christian
63,8,hindu
64,8,islamic
65,8,jain
66,8,jewish
67,8,shinto
68,8,sikh
69,8,unkown
70,10,alcohol
71,10,bakery
72,10,bicycle
73,10,book
74,10,butcher
75,10,car
76,10,carrepair
77,10,clothes
78,10,computer
79,10,confectionery
80,10,convenience
81,10,copyshop
82,10,departmentstore
83,10,diy
84,10,fish
85,10,florist
86,10,gardencentre
87,10,gift
88,10,greengrocer
89,10,hairdresser
90,10,hearingaids
91,10,hifi
92,10,jewelry
93,10,kiosk
94,10,laundrette
95,10,marketplace
96,10,motorcycle
97,10,music
98,10,newspaper
99,10,pet
100,10,phone
101,10,shoes
102,10,supermarket
103,10,tobacco
104,10,toys
105,10,vendingmaschine
106,10,videorental
107,11,archery
108,11,baseball
109,11,basketball
110,11,bowling
111,11,canoe
112,11,climbing
113,11,cricket
114,11,diving
115,11,football
116,11,golf
117,11,gym
118,11,gymnasium
119,11,horse
120,11,iceskating
121,11,leisurecenter
122,11,miniaturgolf
123,11,motorracing
124,11,shooting
125,11,skating
126,11,skiingdownhill
127,11,snooker
128,11,soccer
129,11,stadium
130,11,surfing
131,11,swimming
132,11,tennis
133,11,waterski
134,12,archaelogical
135,12,art
136,12,attraction
137,12,battlefield
138,12,beach
139,12,castle
140,12,castle2
141,12,cinema
142,12,fountain
143,12,information
144,12,memorial
145,12,monument
146,12,museum
147,12,nightclub
148,12,ruins
149,12,theatre
150,12,themepark
151,12,windmill
152,12,wreck
153,12,zoo
154,13,airport
155,13,busstop
156,13,fuel
157,13,lighthouse
158,13,marina
159,13,rentalcar
160,13,station
161,13,subway
162,13,terminal
163,13,tramstop
164,14,dam
165,14,tower
166,14,weir
